title,ingredients,instagram
볶음밥,"['계란', '당근', '양파', '밥', '굴소스', '파', '간장 ']","['곱창', '밥', '닭', '가슴', '새우', '닭갈비', '집', '집밥', '계란', '야채']"
짜장면,"['돼지고기', '춘장', '양파', '마늘', '면', '파', '애호박']","['짜장', '집', '간짜장', '여행', '탕', '맘', '새우', '고기', '짜파게티', '밥']"
탕수육,"['돼지고기', '당근', '오이', '양파', '튀김가루', '설탕', '식초']","['고기', '간짜장', '짜장면', '짜장', '서면', '전분', '물', '집', '튀김', '서울']"
깐쇼새우,"['새우', '간장', '튀김가루', '고추', '케찹', '마늘', '물엿']","['새우', '서면', '짜장면', '튀김', '교동', '술', '펜션', '동파육', '대구', '양념']"
깐풍기,"['닭다리살', '고춧가루', '녹말가루', '후추', '튀김가루', '계란', '소금']","['치킨', '새우', '배달', '짜장면', '매니아', '추가', '집', '튀김', '밥', '바삭']"
양장피,"['양장피', '오징어', '새우', '소고기', '간장', '오이', '버섯']","['새우', '술', '한잔', '맘', '집', '짜장면', '집밥', '연태', '육아', '배달']"
해물짬뽕,"['조개', '새우', '고춧가루', '양파', '면', '간장', '호박']","['문어', '아들', '여행', '해물', '육아', '아기', '밥', '카페', '맘', '조천읍']"
사천짜장,"['돼지고기', '두반장', '다진생강', '양파', '면', '파', '고춧가루']","['짜장', '짜장면', '닭', '밥', '매콤', '사천', '볶음밥', '집', '가슴', '배달']"
군만두,"['식용유', '냉동만두', '간장']","['집', '집밥', '김치', '밥', '튀김', '짜장면', '비', '치킨', '국물', '손']"
군만두,"['돼지고기', '밀가루', '부추', '호박', '간장', '소금', '마늘']","['집', '집밥', '김치', '밥', '튀김', '짜장면', '비', '치킨', '국물', '손']"
해물쟁반짜장,"['면', '돼지고기', '춘장', '오징어', '칵테일새우', '굴소스', '간장']","['쟁반짜장', '해물', '짜장면', '밥', '배달', '짜장', '집', '비', '새우', '가격']"
짬뽕밥,"['밥', '돼지고기', '고춧가루', '홍합', '새우', '파', '조개']","['밥', '국물', '집밥', '해장', '고기', '짜장면', '미아동', '면', '아침', '밥집']"
마파두부,"['두부', '두반장', '고춧가루', '양파', '파', '마늘', '돼지고기']","['밥', '집밥', '볶음', '마파', '가지', '반장', '집', '반찬', '파', '물']"
팔보채,"['새우', '청경채', '죽순', '홍피망', '굴소스', '고추', '버섯']","['새우', '집', '짜장면', '깐풍기', '반찬', '볶음밥', '잡채', '밥', '짜장', '술']"
난자완스,"['소고기', '청경채', '표고버섯', '마늘', '간장', '전분가루', '청경채']","['술', '볶음밥', '집', '새우', '밥상', '짜장면', '향', '완자', '잡채', '고추']"
함박스테이크,"['돼지고기', '다진양파', '마늘', '케찹', '간장', '계란', '빵가루']","['집밥', '홈', '사진', '그릇', '샐러드', '맘', '아들', '집', '고기', '브런치']"
알리오올리오,"['면', '마늘', '페퍼론치노', '소금', '올리브유', '파슬리', '치즈']","['마늘', '새우', '집밥', '집', '면', '치즈', '샐러드', '쿠킹', '샌드위치', '홈']"
수제버거,"['돼지고기', '빵', '양상추', '토마토', '치즈']","['카페', '서울', '여행', '패티', '집', '치킨', '재료', '프라', '강릉', '번']"
크림파스타,"['면', '생크림소스', '양파', '마늘', '베이컨', '후추', '소금']","['크림', '새우', '집밥', '치즈', '우유', '샐러드', '집', '면', '사진', '홈']"
토마토파스타,"['면', '토마토소스', '올리브유', '치즈가루', '베이컨', '양파', '소금']","['치즈', '집', '샐러드', '청정', '집밥', '새우', '홈', '재료', '추가', '크림']"
봉골레파스타,"['면', '바지락', '양파', '마늘', '화이트와인', '올리브오일', '파슬리']","['봉골레', '바지락', '찜닭', '브런치', '샐러드', '카페', '집밥', '면', '죽', '홍대']"
마르게리타,"['밀가루', '바질', '치즈', '스파게티소스', '치즈']","['대구', '카페', '고르곤졸라', '집', '가족', '포르마', '샐러드', '치즈', '서울', '브런치']"
고르곤졸라피자,"['밀가루', '마늘', '고르곤졸라', '치즈']","['고르곤졸라', '치즈', '카페', '파네', '샐러드', '크림', '쭈꾸미', '꿀', '집', '고르곤']"
페퍼로니피자,"['밀가루', '페퍼로니', '블랙올리브', '치즈']","['치즈', '배달', '집', '치킨', '후', '여행', '카페', '맘', '전', '서울']"
토마토리조또,"['토마토소스', '밥', '양파', '치즈', '올리브유', '새우', '베이컨']","['밥', '치즈', '집밥', '가슴', '비건', '새우', '닭', '가지', '양파', '배달']"
연어스테이크,"['연어', '양파', '허브솔트', '올리브오일', '부추', '후추']","['연어', '샐러드', '집밥', '배달', '홈', '집', '밥', '아침', '레몬', '생']"
크림스튜,"['닭다리살', '당근', '버섯', '양파', '감자', '버터', '브로콜리']","['크림', '닭', '양파', '재료', '가슴', '치킨', '집밥', '치즈', '브런치', '빵']"
오믈렛,"['계란', '소금', '치즈']","['브런치', '계란', '카페', '치즈', '집밥', '아침', '집', '달걀', '샌드위치', '샐러드']"
샐러드,"['상추', '삶은계란', '아몬드', '베이컨', '올리고당']","['샌드위치', '운동', '치즈', '유지', '카페', '크림', '배달', '닭', '빵', '새우']"
나폴리피자,"['밀가루', '토마토소스', '소금', '바질', '모짜렐라치즈']","['바', '닭', '치즈', '샐러드', '가슴', '남자', '아버지', '운동', '엔', '프렌치']"
상하이어니언버거,"['닭고기', '양상추', '양파튀김', '화이트마요소스', '스파이시어니언소스']","['어니언', '양파', '튀김', '패티', '치킨', '신상', '집', '콜라', '굿', '바삭']"
1955버거,"['소고기', '1955소스', '케첩', '베이컨', '그릴드양파']","['튀김', '집', '콜라', '치킨', '보라', '빵', '아침', '사진', '운동', '배달']"
빅맥,"['소고기', '양파', '체다치즈', '양상추', '피클']","['콜라', '치킨', '사진', '집', '빵', '배달', '휴가', '팔', '반죽', '숙성']"
더블불고기버거,"['돼지고기', '양상추', '체다치즈', '마요네즈', '화이트마요소스']","['치즈', '튀김', '콜라', '패티', '치킨', '집', '운동', '필레', '배', '팔']"
베이컨토마토디럭스,"['베이컨', '토마토', '빵', '양상추', '칠리소스']","['치킨', '운동', '콜라', '배달', '웹툰', '그림', '툰', '튀김', '판타지', '낙서']"
새우버거,"['새우', '타르타르소스', '양상추', '빵']","['새우', '패티', '골프', '서면', '포장', '먹기', '탑', '강릉', '담', '와사비']"
데리버거,"['데리야끼소스', '미트패티', '양상추', '마요네즈', '양파슬라이스']","['새우', '튀김', '치킨', '콜라', '김치', '치즈', '아들', '엄마', '맘', '먹기']"
싸이버거,"['크리스피치킨', '양파', '양상추', '맘스소스', '빵']","['치킨', '치즈', '집', '엄마', '배달', '튀김', '패티', '철원', '치즈볼', '전']"
화이트갈릭버거,"['닭고기', '화이트치즈', '양파', '피클', '더블햄']","['갈릭', '치즈', '튀김', '치킨', '딥', '어니언', '홀릭', '엄마', '패티', '콜라']"
불싸이버거,"['고추장', '크리스피치킨', '양파', '양상추', '빵']","['치즈', '치킨', '튀김', '치즈볼', '배달', '콜라', '엄마', '매콤', '새우', '운동']"
핫볶이,"['떡', '핫도그', '계란', '양배추', '파', '고추장', '고춧가루']","['배달', '치즈', '민족', '향동', '떡', '비', '가성', '향', '조합', '집밥']"
감자통모짜핫도그,"['감자', '계란', '빵가루', '통모짜렐라']","['치즈', '고구마', '체다', '떡', '구마', '폭탄', '휴게소', '집', '배달', '최애']"
몬스터와퍼,"['토마토', '양상추', '닭고기', '소고기', '베이컨']","['새우', '패티', '치즈', '치킨', '배달', '튀김', '매콤', '팩', '번', '킹']"
콰트로치즈와퍼,"['토마토', '치즈', '양파', '소고기', '양상추']","['치즈', '물', '패티', '매장', '추가', '그냥', '쇠고기', '제외', '너', '끝']"
트러플머쉬룸와퍼,"['양송이', '소고기', '양파', '토마토', '트러플크림소스']","['새우', '치즈', '버섯', '튀김', '배달', '집', '패티', '콜라', '사랑', '최애']"
징거버거,"['빵', '마요네즈', '양상추', '닭고기']","['치킨', '타워', '튀김', '비', '닭', '껍질', '콜라', '집', '업', '친구']"
트위스터,"['닭고기', '튀김가루', '마요네즈', '밀가루', '양상추']","['치킨', '전자담배', '운동', '마켓', '게임', '청소기', '매장', '고릴라', '물걸레', '튀김']"
보쌈,"['돼지고기', '양파', '파', '맛술', '통후추']","['족발', '김치', '집', '배달', '고기', '비', '캠핑', '고객', '술', '신규가입']"
닭발,"['닭발', '마늘', '파', '생강', '소주']","['국물', '젓갈', '무뼈', '술', '기절', '밥', '추가', '그냥', '집', '당면']"
야키소바,"['생면', '숙주', '새우', '베이컨', '야키소바소스']","['전북대', '키친', '술집', '대창', '교동', '전골', '예약', '덕진구', '금암동', '길']"
나베,"['불고기', '배추', '버섯', '숙주', '간장']","['술집', '포', '밥', '서면', '밀푀유', '양정', '술', '참치', '송상현', '광장']"
야키토리,"['닭고기', '파', '데리야끼소스']","['꼬치', '망원동', '술', '닭', '집', '술집', '무제한', '키', '망원', '사케']"
콩나물국,"['콩나물', '파', '멸치', '마늘', '간장', '소금']","['집밥', '볶음', '밥', '반찬', '밥상', '김치', '엄마', '집', '아침', '조림']"
황태해장국,"['황태채', '참기름', '파', '소금', '계란', '마늘', '간장']","['황태', '해장국', '국밥', '해장', '여행', '속초', '볶음', '대장', '반찬', '밥']"
소머리국밥,"['밥', '사골육수', '콩나물', '배추', '팽이버섯', '양파', '파']","['국밥', '고기', '국물', '여행', '휴가', '집', '가지', '김치', '밥', '아빠']"
부대찌개,"['비엔나', '스팸', '두부', '떡', '고추', '고추가루', '간장']","['집', '배달', '캠핑', '햄', '집밥', '탕', '밥', '밴쿠버', '구미', '재료']"
소고기무국,"['숙주나물', '파', '무', '청양고추', '고춧가루', '마늘', '소고기']","['소고기', '무국', '볶음', '밥', '집밥', '국', '반찬', '밥상', '조림', '무']"
미역국,"['소고기', '미역', '마늘', '간장', '참기름', '소금']","['밥', '집밥', '볶음', '밥상', '엄마', '반찬', '아침', '소고기', '축하', '남편']"
물회,"['회', '해삼', '오징어', '양파', '당근', '오이', '초고추장']","['전복', '강릉', '포항', '휴가', '문어', '초밥', '망고', '속초', '여행', '여름']"
홍합탕,"['홍합', '양파', '파', '소금', '마늘', '고추']","['홍합', '탕', '집밥', '집', '회', '휴가', '술', '한잔', '새우', '포항']"
전복죽,"['전복', '양파', '버섯', '소금', '당근', '간장', '참기름']","['전복', '기장', '죽', '물회', '여행', '반찬', '집', '휴가', '버터', '여름']"
전복버터구이,"['전복', '마늘', '소금', '버터', '파슬리']","['전복', '버터', '집밥', '전복죽', '손질', '회', '여행', '휴가', '몸', '밥']"
감자짜글이,"['감자', '양파', '스팸', '간장', '파', '고추장', '고춧가루']","['밥', '집밥', '양파', '볶음', '가지', '고추장', '간장', '대파', '물', '밥상']"
오므라이스,"['계란', '햄', '양파', '파', '케첩', '올리고당']","['티', '파크', '사진', '밥', '위치', '고래', '바다', '경의선', '숲길', '홍대역']"
비빔국수,"['소면', '계란', '오이', '고추장', '고춧가루', '참기름']","['면', '집밥', '집', '돼지', '간장', '비빔', '여름', '김치', '고기', '소면']"
안동찜닭,"['닭고기', '감자', '간장', '물엿', '마늘', '파', '당근']","['찜닭', '밀', '여행', '집밥', '닭', '휴가', '간장', '밥', '골목', '여름']"
더블불고기피자,"['소고기', '치즈', '밀가루', '간장', '마늘', '파', '버섯']","['치즈', '배달', '치킨', '고구마', '림프', '갈릭', '서면', '맘', '튀김', '집']"
바지락칼국수,"['면', '멸치', '계란', '파', '마늘', '간장', '소금']","['바지락', '비', '국물', '집', '집밥', '해독', '엄마', '맘', '해물파전', '배']"
아구찜,"['아구', '파', '미나리', '마늘', '미더덕', '생강', '소금']","['해물찜', '아구', '볶음밥', '배달', '밥', '가격', '집', '남편', '술', '배']"
감바스,"['새우', '마늘', '올리브유', '소금', '파', '파슬리', '통깨']","['새우', '밀', '캠핑', '집', '카페', '집밥', '치즈', '마늘', '비', '샐러드']"
그릭샐러드,"['마카로니', '토마토', '피망', '치즈', '양파', '청경채', '케일']","['샐러드', '그릭', '치즈', '페타', '드레싱', '아침', '카페', '브런치', '여름', '레몬']"
야채수프,"['양파', '당근', '양배추', '파', '올리브유']","['야채', '채소', '양파', '건강', '당근', '물', '소금', '명란', '간', '가지']"
돈까스김치나베,"['돼지고기', '김치', '마늘', '파', '계란', '간장', '고춧가루']","['김치', '집밥', '치즈', '밥', '집', '양파', '우동', '계란', '밥상', '물']"
오꼬노미야끼,"['두부', '계란', '간장', '양파', '양배추', '감자전분', '소금']","['꼬', '양배추', '술', '집밥', '집', '재료', '비', '전', '홍대', '볶음']"
돈부리,"['돼지고기', '양파', '계란', '파', '간장', '설탕']","['밥', '배달', '사케', '소바', '연어', '포장', '뭐', '판교', '낮술', '계란']"
야끼소바,"['면', '베이컨', '양배추', '버섯', '양파', '설탕', '간장']","['야키소바', '술집', '낙성대', '고래', '고기', '영업', '서울', '길', '꼬', '동네']"
쉬림프피자,"['새우', '양파', '치즈', '소금', '밀가루', '소금']","['림프', '새우', '치즈', '배달', '고구마', '치킨', '가지', '갈릭', '집', '프레드']"
연어샐러드,"['연어', '양상추', '케일', '양파', '소금']","['연어', '샐러드', '카페', '밥', '집밥', '치즈', '사진', '새우', '닭', '샌드위치']"
로제파스타,"['면', '마늘', '베이컨', '양파', '로제소스', '치즈']","['카페', '크림', '치즈', '브런치', '샐러드', '밀', '새우', '재료', '집', '밥']"
두루치기,"['돼지고기', '양파', '고추', '마늘', '고추장', '설탕', '고춧가루']","['교대', '김치', '집', '회관', '밥', '돼지', '집밥', '반찬', '배달', '볶음']"
메밀국수,"['면', '무', '김', '오이', '쯔유', '파']","['소바', '담양', '들기름', '집', '곰표', '비빔', '면', '팩', '집밥', '동치미']"
간장게장,"['숫게', '양파', '간장', '마늘', '생강', '고추']","['게장', '꽃게', '밥', '새우', '양념', '집', '간장', '집밥', '게국지', '진해']"
양념게장,"['숫게', '고춧가루', '설탕', '마늘', '고추', '파', '통깨']","['게장', '양념', '간장게장', '밥', '꽃게', '번', '여행', '갈비', '돼지', '간장']"
꿔바로우,"['돼지고기', '식용유', '케찹', '간장', '양파', '생강', '당근']","['탕', '바', '꼬치', '마라샹궈', '배달', '여기', '가지', '고기', '집', '튀김']"
간짜장,"['면', '춘장', '양파', '돼지고기', '애호박', '양배추']","['짜장면', '짜장', '비', '밥', '집', '면', '여행', '볶음밥', '한번', '짜파게티']"
삼선짜장,"['면', '춘장', '양파', '새우', '오징어', '양파', '양배추']","['짜장면', '짜장', '집', '면', '새우', '배달', '해물', '삼선', '밥', '마곡']"
잡채밥,"['면', '양배추', '버섯', '고춧가루', '간장', '통깨', '고추']","['잡채', '밥', '짜장면', '집밥', '짜장', '집', '볶음', '잡지', '서울', '비']"
짬뽕,"['면', '숫게', '홍합', '고춧가루', '애호박', '양파', '오징어']","['타워', '짜장면', '넷마블', '비', '집', '국물', '밥', '파크', '사옥', '면']"
냉면,"['면', '양파', '식초', '고추장', '마늘', '고추가루', '양파']","['면', '여름', '집', '평양', '고기', '풍년', '갈비', '밀면', '면옥', '옥']"
류산슬,"['오징어', '전복', '새우', '대파', '부추', '생강', '마늘']","['새우', '짜장면', '밥', '슬', '멘보샤', '잡채', '깐풍기', '볶음밥', '목란', '고추']"
고추잡채,"['돼지고기', '밀가루', '계란', '버섯', '파', '양파', '마늘']","['잡채', '고추', '꽃빵', '집밥', '밥', '집', '고기', '반찬', '볶음', '술']"
울면,"['면', '파', '당근', '청경채', '버섯', '새우', '소금']","['짜장면', '밥', '탕', '볶음밥', '배달', '집', '아빠', '국물', '땐', '우동']"
콩국수,"['면', '소금', '오이', '통깨', '계란', '콩']","['콩', '여름', '콩물', '집밥', '국물', '문어', '소금', '집', '밥상', '콩국']"
스키야끼,"['소고기', '파', '두부', '양파', '계란', '버섯', '간장']","['연어', '고기', '밥', '집', '우동', '샤브샤브', '국물', '볼', '술', '술집']"
